filename,category,location,issue,why_it_matters,suggested_refactor,priority
"RetentionJsonAutomation.py","Coupling & structure","Lines 44; 97; 107; 117; 126","Multiple %run statements tightly couple this notebook to several other notebooks, creating a monolithic entry point.","Any change in a dependent notebook requires updating this orchestrator, increasing maintenance risk and making testing difficult.","Extract common logic into reusable Python modules and replace %run calls with imported functions; keep the notebook thin as an orchestrator.","High"
"RetentionJsonAutomation.py","Dependencies","Lines 34-40","Imports `requests`, `base64`, `re`, and `DBUtils` are never used in this notebook.","Unused imports increase start-up time and can mask missing dependencies, potentially causing runtime errors if the imported modules are unavailable.","Remove the unused import statements.","Medium"
"RetentionJsonAutomation.py","Hardcoding / configuration","Lines 52-54","GitHub host, organization, and repository name are hardcoded, requiring code changes for any environment switch.","Hardcoded values hinder portability across dev/test/prod environments and force code edits for simple configuration changes.","Move these values to a configuration file or environment variables.","Medium"
"Retention_Pre_Check.py","Complexity","Lines 33-48","Function `extract_data_from_repo` contains nested loops, try/except inside a for-loop, and multiple conditional branches, making it hard to read and test.","High complexity increases maintenance effort and error proneness when extending extraction logic.","Refactor by extracting inner loop into a helper function and reducing nesting.","High"
"Retention_Pre_Check.py","Observability","Lines 21-31","The notebook uses plain `print` statements for logging instead of structured logging.","Lack of structured logs makes it difficult to trace execution in production and to integrate with monitoring tools.","Replace prints with a logger (e.g., Python `logging` module) and emit consistent log levels.","Medium"
"Retention_Processing.py","Complexity","Lines 83-169","`process_new_events_intelligent_mapping` exceeds 80 lines, contains nested conditionals and multiple return paths, making it hard to understand.","Complex functions are error‑prone and difficult to test; future changes risk unintended side effects.","Split the function into smaller, purpose‑specific helpers (e.g., case‑1 handling, case‑2 handling, warnings aggregation).","High"
"Retention_Processing.py","Duplication","Lines 12-18; Lines 26-38","Large blocks of commented-out code (e.g., commented rule table generation) remain in the notebook.","Dead code adds noise, confuses readers, and may become outdated, leading to incorrect assumptions.","Remove the commented sections or move them to version‑control history.","Medium"
"Retention_Processing.py","Observability","Lines 214-268","The script relies on `print` statements and a generic `except Exception` without detailed logging.","Without proper logging and fine‑grained error handling, failures are hard to diagnose in production.","Introduce structured logging and handle specific exception types.","Medium"
"Post_Checks_PR.py","Coupling & structure","Lines 38-48","Branch creation logic directly accesses global variables from previous notebooks, creating tight coupling.","If preceding notebooks change variable names or scopes, this function will break, reducing robustness.","Pass required parameters (`repo`, `base_branch`, `new_branch_name`) explicitly to `create_branch`.","High"
"Post_Checks_PR.py","Dependencies","Lines 35-41","Imports `Github` and `json` are only used for PR creation, but the client is created earlier; imports are duplicated.","Redundant imports increase notebook load time and may hide unused dependencies.","Import these modules only where needed or reuse existing client object.","Medium"
"Post_Checks_PR.py","Observability","Lines 78-112","File update logic uses prints for status and does not surface errors through structured logs.","Lack of proper error reporting can hide failures during PR creation.","Raise exceptions on failure and log via a logger.","Medium"
"rawConfig_new_rules.py","Hardcoding / configuration","Lines 22-27","GitHub host, organization name, repository name, and file path are hardcoded.","Changing environment (e.g., moving to another org) requires code modifications, increasing risk of errors.","Externalize these values to a config file or environment variables.","High"
"rawConfig_new_rules.py","Dependencies","Line 5","%pip install pygithub is invoked at runtime, causing repeated package installation.","Repeated installations slow notebook startup and can lead to version inconsistencies.","Install required packages in the environment beforehand; remove the runtime install.","Medium"
"dependencies/Pre_Requisites.py","Duplication","Lines 73-91","`process_content` and `get_table_schema_path` duplicate logic also defined in `common_functions.py` and other modules.","Duplicate implementations diverge over time, causing inconsistent behavior.","Consolidate these functions into a shared utility module and import them.","High"
"dependencies/Pre_Requisites.py","Dependencies","Lines 41-45","`json` is used in `process_content` but the module is not imported in this file.","`process_content` will raise a NameError when called, breaking the pipeline.","Add `import json` at the top of the file.","High"
"dependencies/Pre_Requisites.py","Dead code","Lines 7-19","Several column list definitions are commented out, providing no functional value.","Commented dead code clutters the file and may mislead readers about intended columns.","Remove the commented-out definitions or move them to documentation.","Medium"
"dependencies/common_functions.py","Duplication","Lines 15-33","Function `get_table_schema_path` duplicates code from `Pre_Requisites.py` with slightly different signature.","Maintaining two versions risks divergence, leading to subtle bugs in schema resolution.","Consolidate into a single implementation in a shared module.","High"
"dependencies/common_functions.py","Observability","Lines 31-34","Function `get_table_schema_path` prints warnings directly, mixing concerns.","Printing in library code makes it hard to control output and interferes with logging pipelines.","Raise a custom exception or use a logger instead of print.","Low"
"dependencies/shared_config.py","Dead code","Lines 19-60","Multiple blocks of commented-out code (e.g., source list mappings, legacy rule generation) remain in the file.","Dead code obscures the active configuration and can become outdated, creating confusion.","Delete commented sections or move them to version history.","Medium"
"dependencies/shared_config.py","Hardcoding / configuration","Lines 9-12","Schema names are constructed with string interpolation, embedding the environment directly.","Hardcoding schema patterns reduces flexibility for future schema changes.","Define schema templates in a config file and substitute at runtime.","Medium"
"new_events/new_tables_processor.py","Duplication","Lines 66-68","GitHub token retrieval logic repeats the same pattern found in other notebooks.","Duplication increases maintenance; updates to token handling must be applied in each notebook.","Extract token fetching to a shared helper function.","High"
"new_events/new_tables_processor.py","Complexity","Lines 274-315","Mapping block combines multiple nested conditionals, loops, and exception handling across 40+ lines, making it difficult to follow.","High complexity hampers readability and raises risk of subtle bugs when modifying mapping rules.","Refactor each case into separate functions and simplify conditional checks.","High"
"new_events/new_tables_processor.py","Hardcoding / configuration","Lines 34-35","`path_to_file` contains hardcoded repository JSON file paths.","Changing file locations requires code changes, increasing maintenance effort.","Externalize file paths to a configuration object or parameter.","Medium"
"new_events/new_tables_processor.py","Performance","Lines 63-69","Recursive conversion of dicts/lists to hashable tuples for set operations can be expensive on large JSON structures.","Performance overhead may become noticeable when processing many tables.","Consider using a more efficient diff algorithm or stream processing.","Medium"
"RetentionJsonAutomation.py; Retention_Pre_Check.py; rawConfig_new_rules.py; new_events/new_tables_processor.py","Duplication","Lines 73-76; Lines 11-14; Lines 30-32; Lines 66-68","Identical GitHub token retrieval code (`github_token = dbutils.secrets.get...`) appears in multiple notebooks.","Any change to token handling (e.g., adding retry logic) must be replicated, risking inconsistency.","Extract token fetching into a shared utility module and import it.","High"
"dependencies/Pre_Requisites.py; dependencies/common_functions.py","Duplication","Lines 73-91; Lines 15-33","Function `get_table_schema_path` is implemented separately in two modules with overlapping logic.","Having two copies can cause divergence, leading to schema resolution errors in different parts of the pipeline.","Move the function to a single shared module (e.g., shared_config) and import it.","High"
"Retention_Processing.py; new_events/new_tables_processor.py","Duplication","Lines 83-169; Lines 274-315","Logic for intelligent rule mapping (case 1 similar table, case 2 fields config matching) is duplicated in both notebooks.","Duplication makes it hard to ensure both implementations stay in sync, increasing bug surface.","Extract the mapping logic into a shared library function and call it from both notebooks.","Medium"
"RetentionJsonAutomation.py; Post_Checks_PR.py","Coupling & structure","Lines 97-107; Lines 38-48","Post_Checks_PR directly accesses variables (`cfg_repo`, `branch`, `env`) defined in earlier notebooks instead of passing them explicitly.","Tight coupling makes notebook execution order fragile and hampers reusability.","Pass required context as parameters to functions in Post_Checks_PR, avoiding reliance on globals.","Medium"
